"";"codmun";"nome";"uf";"string";"lat";"lon"
"198";1502954;"Eldorado do Carajás";"Pará";"Eldorado do Carajás, Pará, Brasil";NA;NA
"199";1503002;"Faro";"Pará";"Faro, Pará, Brasil";-1,10916245;-57,8002506157089
"200";1503044;"Floresta do Araguaia";"Pará";"Floresta do Araguaia, Pará, Brasil";-7,5560834;-49,605638865513
"201";1503077;"Garrafão do Norte";"Pará";"Garrafão do Norte, Pará, Brasil";-2,22125025;-47,084851067941
"202";1503093;"Goianésia do Pará";"Pará";"Goianésia do Pará, Pará, Brasil";-4,0181354;-48,7327950625376
"203";1503101;"Gurupá";"Pará";"Gurupá, Pará, Brasil";-1,4063249;-51,6427455
"204";1503200;"Igarapé-Açu";"Pará";"Igarapé-Açu, Pará, Brasil";-1,1253918;-47,6259888
"205";1503309;"Igarapé-Miri";"Pará";"Igarapé-Miri, Pará, Brasil";-1,9753259;-48,9574529
"206";1503408;"Inhangapi";"Pará";"Inhangapi, Pará, Brasil";-1,4283737;-47,9108607
"207";1503457;"Ipixuna do Pará";"Pará";"Ipixuna do Pará, Pará, Brasil";-2,9373278;-47,9670807523419
"208";1503507;"Irituia";"Pará";"Irituia, Pará, Brasil";-1,7709542;-47,4399686
"209";1503606;"Itaituba";"Pará";"Itaituba, Pará, Brasil";-4,2625217;-55,9878138
"210";1503705;"Itupiranga";"Pará";"Itupiranga, Pará, Brasil";-5,1337223;-49,3321987
"211";1503754;"Jacareacanga";"Pará";"Jacareacanga, Pará, Brasil";-6,2242166;-57,7608565
"212";1503804;"Jacundá";"Pará";"Jacundá, Pará, Brasil";-4,4461729;-49,1152719
"213";1503903;"Juruti";"Pará";"Juruti, Pará, Brasil";-2,6486946;-56,2373719254788
"214";1504000;"Limoeiro do Ajuru";"Pará";"Limoeiro do Ajuru, Pará, Brasil";-1,88664395;-49,4957012489092
"215";1504059;"Mãe do Rio";"Pará";"Mãe do Rio, Pará, Brasil";-1,98909015;-47,5075023293081
"216";1504109;"Magalhães Barata";"Pará";"Magalhães Barata, Pará, Brasil";-0,8346167;-47,6296311967781
"217";1504208;"Marabá";"Pará";"Marabá, Pará, Brasil";-5,346282;-49,10074
"218";1504307;"Maracanã";"Pará";"Maracanã, Pará, Brasil";-0,7388974;-47,4537341677785
"219";1504406;"Marapanim";"Pará";"Marapanim, Pará, Brasil";-0,7134492;-47,698538
"220";1504422;"Marituba";"Pará";"Marituba, Pará, Brasil";-1,3595305;-48,3361503
"221";1504455;"Medicilândia";"Pará";"Medicilândia, Pará, Brasil";-3,4438387;-52,8889235
"222";1504505;"Melgaço";"Pará";"Melgaço, Pará, Brasil";-1,67350535;-51,0702398370677
"223";1504604;"Mocajuba";"Pará";"Mocajuba, Pará, Brasil";-2,5830979;-49,5042239
"224";1504703;"Moju";"Pará";"Moju, Pará, Brasil";-1,8899259;-48,7667649
"225";1504752;"Mojuí dos Campos";"Pará";"Mojuí dos Campos, Pará, Brasil";-3,04041645;-54,5371970357278
"226";1504802;"Monte Alegre";"Pará";"Monte Alegre, Pará, Brasil";-1,9989107;-54,0727693
"227";1504901;"Muaná";"Pará";"Muaná, Pará, Brasil";-1,5393589;-49,2223779
"228";1504950;"Nova Esperança do Piriá";"Pará";"Nova Esperança do Piriá, Pará, Brasil";-2,39608635;-46,7905259249709
"229";1504976;"Nova Ipixuna";"Pará";"Nova Ipixuna, Pará, Brasil";-5,01389945;-49,2058432279635
"230";1505007;"Nova Timboteua";"Pará";"Nova Timboteua, Pará, Brasil";-1,2114676;-47,4160907860413
"231";1505031;"Novo Progresso";"Pará";"Novo Progresso, Pará, Brasil";-7,9079933;-55,5961382568309
"232";1505064;"Novo Repartimento";"Pará";"Novo Repartimento, Pará, Brasil";-4,38982155;-49,8471245709495
"233";1505106;"Óbidos";"Pará";"Óbidos, Pará, Brasil";-1,9010719;-55,5208119
"234";1505205;"Oeiras do Pará";"Pará";"Oeiras do Pará, Pará, Brasil";-2,3861599;-49,9264482278402
"235";1505304;"Oriximiná";"Pará";"Oriximiná, Pará, Brasil";-1,7674271;-55,868338
