codmun;nome;uf;string
1710706;Itaguatins;Tocantins;Itaguatins, Tocantins, Brasil
1710904;Itapiratins;Tocantins;Itapiratins, Tocantins, Brasil
1711100;Itaporã do Tocantins;Tocantins;Itaporã do Tocantins, Tocantins, Brasil
1711506;Jaú do Tocantins;Tocantins;Jaú do Tocantins, Tocantins, Brasil
1711803;Juarina;Tocantins;Juarina, Tocantins, Brasil
1711902;Lagoa da Confusão;Tocantins;Lagoa da Confusão, Tocantins, Brasil
1711951;Lagoa do Tocantins;Tocantins;Lagoa do Tocantins, Tocantins, Brasil
1712009;Lajeado;Tocantins;Lajeado, Tocantins, Brasil
1712157;Lavandeira;Tocantins;Lavandeira, Tocantins, Brasil
1712405;Lizarda;Tocantins;Lizarda, Tocantins, Brasil
1712454;Luzinópolis;Tocantins;Luzinópolis, Tocantins, Brasil
1712504;Marianópolis do Tocantins;Tocantins;Marianópolis do Tocantins, Tocantins, Brasil
1712702;Mateiros;Tocantins;Mateiros, Tocantins, Brasil
1712801;Maurilândia do Tocantins;Tocantins;Maurilândia do Tocantins, Tocantins, Brasil
1713205;Miracema do Tocantins;Tocantins;Miracema do Tocantins, Tocantins, Brasil
1713304;Miranorte;Tocantins;Miranorte, Tocantins, Brasil
1713601;Monte do Carmo;Tocantins;Monte do Carmo, Tocantins, Brasil
1713700;Monte Santo do Tocantins;Tocantins;Monte Santo do Tocantins, Tocantins, Brasil
1713957;Muricilândia;Tocantins;Muricilândia, Tocantins, Brasil
1714203;Natividade;Tocantins;Natividade, Tocantins, Brasil
1714302;Nazaré;Tocantins;Nazaré, Tocantins, Brasil
1714880;Nova Olinda;Tocantins;Nova Olinda, Tocantins, Brasil
1715002;Nova Rosalândia;Tocantins;Nova Rosalândia, Tocantins, Brasil
1715101;Novo Acordo;Tocantins;Novo Acordo, Tocantins, Brasil
1715150;Novo Alegre;Tocantins;Novo Alegre, Tocantins, Brasil
1715259;Novo Jardim;Tocantins;Novo Jardim, Tocantins, Brasil
